Country Name,CrudeBirthRate,GNI_per_capita,dependencyRatioOld,expectancyLife,HDI,developmentLevel
Afghanistan,32.507,560,4.76332242,64.047,0.498,0
Albania,11.745,4320,18.99789034,78.495,0.785,0
Algeria,22.292,3940,9.62836031,76.293,0.754,0
Angola,41.347,3570,4.73453244,61.809,0.581,0
Argentina,16.975,13030,17.52050474,76.738,0.825,0
Armenia,13.092,3990,16.3355682,74.782,0.755,0
Australia,12.4,51360,23.67541488,82.497561,0.939,1
Austria,10,45360,28.78495309,81.6414634,0.908,1
Azerbaijan,14.6,4080,8.51115164,72.123,0.757,0
Bahamas,14.126,29170,12.75112964,75.823,0.807,0
Bahrain,14.402,21200,3.04465041,77.038,0.846,0
Bangladesh,18.613,1470,7.66284199,72.808,0.608,0
Barbados,11.819,15270,22.6591909,76.057,0.8,0
Belarus,10.8,5290,21.61769211,74.1292683,0.808,0
Belgium,10.5,42050,28.86631142,81.4390244,0.916,1
Belize,22.312,4390,5.95217538,70.588,0.708,0
Benin,36.622,800,5.99846171,61.171,0.515,0
Bhutan,17.879,2660,7.12399404,70.565,0.612,0
Bolivia,22.968,3130,10.87282146,69.473,0.693,0
Bosnia and Herzegovina,9.207,4910,23.90862201,77.087,0.768,0
Botswana,23.162,6730,6.09605549,67.618,0.717,0
Brazil,13.918,8610,12.27018756,75.723,0.759,0
Brunei Darussalam,15.575,29600,6.34198416,77.374,0.853,0
Bulgaria,9,7860,32.01988726,74.8121951,0.813,0
Burkina Faso,38.42,590,4.5957464,60.77,0.423,0
Burundi,41.763,280,4.88595689,57.857,0.417,0
Cabo Verde,20.661,3030,6.82573447,73.004,0.654,0
Cambodia,22.886,1230,6.86107733,69.331,0.582,0
Cameroon,35.768,1370,5.8492139,58.575,0.556,0
Canada,10.3,42790,25.35331942,82.4704878,0.926,1
Central African Republic,35.328,390,6.8766096,52.89,0.367,0
Chad,42.803,640,4.93499495,53.208,0.404,0
Chile,13.135,13610,16.16187686,79.732,0.843,0
China,12.43,8690,14.84536428,76.41,0.752,0
Colombia,14.925,5890,11.10201444,74.562,0.747,0
Comoros,32.365,1280,5.17395642,63.912,0.503,0
"Congo, Dem. Rep.",41.734,460,5.95652409,60.031,0.457,0
"Congo, Rep.",34.059,1430,6.26223776,65.088,0.606,0
Costa Rica,14.056,11120,13.74410849,80.03,0.794,0
Cote d'Ivoire,36.553,1580,5.36803615,54.102,0.492,0
Croatia,8.9,12570,30.07318595,77.8268293,0.831,0
Cyprus,10.672,24070,19.23406913,80.67,0.869,0
Czech Republic,10.8,17960,29.00485435,79.4756098,0.888,0
Denmark,10.6,55330,30.82395573,81.0048781,0.929,1
Djibouti,22.66,1880,6.51125099,62.643,0.476,0
Dominican Republic,19.832,6630,10.95483873,74.048,0.736,0
Ecuador,19.872,5920,11.02132569,76.551,0.752,0
"Egypt, Arab Rep.",25.691,3010,8.40644107,71.661,0.696,0
El Salvador,18.374,3560,12.85654234,73.75,0.674,0
Equatorial Guinea,33.616,7050,4.74596431,57.939,0.591,0
Estonia,10.5,18670,30.30853896,77.6414634,0.871,0
Eswatini,28.415,2950,5.30328323,58.268,0.588,0
Ethiopia,31.255,740,6.30549618,65.874,0.463,0
Fiji,19.041,4970,9.53110576,70.417,0.741,0
Finland,9.1,44760,34.03910577,81.4292683,0.92,1
France,11.4,38160,31.70213564,82.5243902,0.901,1
Gabon,28.901,6650,7.46100452,66.48,0.702,0
Gambia,38.965,680,4.4700602,61.424,0.46,0
Georgia,13.18,3770,22.53691716,73.436,0.78,0
Germany,9.5,43700,32.76710148,80.9902439,0.936,1
Ghana,30.52,1880,5.82598165,63.033,0.592,0
Greece,8.2,18340,31.19204949,81.3878049,0.87,0
Guatemala,24.916,4060,7.79015349,73.654,0.65,0
Guinea,35.468,790,5.74088589,60.617,0.459,0
Guinea-Bissau,35.988,660,5.40864709,57.805,0.455,0
Guyana,20.389,4500,8.07544517,66.766,0.654,0
Haiti,23.821,760,7.71336959,63.589,0.498,0
Honduras,21.418,2250,7.30245158,73.774,0.617,0
"Hong Kong SAR, China",7.7,46310,22.57750422,84.6804878,0.933,1
Hungary,9.7,12920,27.68347458,76.0634146,0.838,0
Iceland,11.9,60500,22.03958194,82.2048781,0.935,1
India,18.782,1790,9.0429154,68.803,0.64,0
Indonesia,18.624,3540,7.90128844,69.355,0.694,0
"Iran, Islamic Rep.",15.922,5430,7.67524874,76.153,0.798,0
Iraq,32.768,4630,5.64679063,70.038,0.685,0
Ireland,12.9,53370,21.61497661,81.9560976,0.938,1
Israel,21.1,37440,19.42455748,82.602439,0.903,1
Italy,7.6,31180,36.27607481,83.2439024,0.88,0
Jamaica,16.434,4760,14.32756891,76.097,0.732,0
Japan,7.6,38520,45.03246723,84.0997561,0.909,1
Jordan,25.883,3980,6.27850386,74.476,0.735,0
Kazakhstan,21.64,7970,10.74220249,72.95,0.8,0
Kenya,30.876,1460,4.72570647,67.291,0.59,0
Kiribati,27.871,3010,6.37416507,66.506,0.612,0
"Korea, Rep.",7,28380,19.1621672,82.6268293,0.903,1
Kuwait,15.974,31430,3.06309445,74.811,0.803,0
Kyrgyz Republic,24.8,1130,7.0503654,71.2,0.672,0
Lao People's Democratic Republic,23.383,2270,6.38697077,67.021,0.601,0
Latvia,10.7,14790,30.46641373,74.6804878,0.847,0
Lebanon,15.497,8400,12.44814445,79.758,0.757,0
Lesotho,27.532,1210,7.49681782,54.568,0.52,0
Liberia,33.936,620,5.54486205,63.006,0.435,0
Libya,19.125,5500,6.56155437,72.11,0.706,0
Luxembourg,10.4,70790,20.66848617,82.6853659,0.904,1
"Macao SAR, China",12.213,72050,12.73559302,83.991,0.909,1
Madagascar,32.9,400,5.22184451,66.312,0.519,0
Malawi,36.399,320,5.6177617,63.671,0.477,0
Malaysia,16.997,9650,9.06796886,75.452,0.802,0
Maldives,17.664,9760,5.68484431,77.649,0.717,0
Mali,42.076,770,5.06026732,58.456,0.427,0
Malta,9.2,23940,29.36766107,82.4536585,0.878,0
Mauritania,33.726,1100,5.51204968,63.384,0.52,0
Mauritius,10.7,10130,15.4886725,74.5146342,0.79,0
Mexico,17.83,8610,10.31565732,77.305,0.774,0
"Micronesia, Fed. Sts.",23.774,3620,7.75012286,69.316,0.627,0
Moldova,10.105,2200,14.80110465,71.718,0.7,0
Mongolia,23.103,3270,6.07968783,69.465,0.741,0
Montenegro,11.224,7400,21.99363718,77.271,0.814,0
Morocco,19.5,2860,10.28149915,76.059,0.667,0
Mozambique,38.557,420,6.06765396,58.872,0.437,0
Myanmar,17.615,1210,8.49920022,66.744,0.578,0
Namibia,28.723,4570,5.94527348,64.85,0.647,0
Nepal,19.49,800,9.1780267,70.604,0.574,0
Netherlands,9.9,46910,28.97577899,81.5609756,0.931,1
New Zealand,12.43,38780,23.6036633,81.6585366,0.917,1
Nicaragua,19.104,2130,8.31014098,75.653,0.658,0
Niger,47.838,360,5.40377825,60.422,0.354,0
Nigeria,38.4,2100,5.16490388,53.875,0.532,0
North Macedonia,11.237,4880,18.9292762,75.851,0.757,0
Norway,10.7,76160,25.71902914,82.5097561,0.953,1
Oman,17.854,14540,3.10559621,77.258,0.821,0
Pakistan,27.7,1580,7.4018831,66.629,0.562,0
Palau,12.4,12700,9,73.4,0.798,0
Palestine,31.409,3340,5.30312899,73.646,0.686,0
Panama,19.218,13280,12.23936505,78.195,0.789,0
Papua New Guinea,27.298,2340,6.32009348,65.705,0.544,0
Paraguay,20.746,5470,9.93147284,73.211,0.702,0
Peru,18.936,5960,10.92414644,75.22,0.75,0
Philippines,22.975,3660,7.5654052,69.238,0.699,0
Poland,10.6,12730,24.49986464,77.8512195,0.865,0
Portugal,8.4,19930,33.15008471,81.1243902,0.847,0
Romania,9.7,10000,26.68774199,75.3097561,0.811,0
Russian Federation,12.9,9220,20.78460002,72.1190244,0.816,0
Rwanda,30.441,720,5.22861567,67.496,0.524,0
Samoa,24.316,4090,9.69715753,75.24,0.713,0
Sao Tome and Principe,33.361,1770,5.3178049,66.762,0.589,0
Saudi Arabia,19.185,20090,4.60640785,74.72,0.853,0
Senegal,34.973,1240,5.55951342,67.477,0.505,0
Serbia,9.2,5180,26.24044421,76.0878049,0.787,0
Seychelles,17.2,14170,12.44398847,74.3,0.797,0
Sierra Leone,34.44,510,4.58277683,52.214,0.419,0
Singapore,8.9,54530,17.922595,82.895122,0.932,1
Slovak Republic,10.7,16650,21.66471173,77.1658537,0.855,0
Slovenia,9.8,22030,28.89203318,81.1756098,0.896,0
Solomon Islands,28.198,1920,6.08352265,71.006,0.546,0
South Africa,20.655,5430,8.13831576,63.404,0.699,0
Spain,8.4,27150,29.50445917,83.3292683,0.891,0
Sri Lanka,15.002,3850,15.27435066,75.485,0.77,0
St. Lucia,11.975,8830,13.61606279,75.696,0.747,0
St. Vincent and the Grenadines,15.246,7390,11.27863534,73.294,0.723,0
Sudan,32.555,2380,6.37806588,64.698,0.502,0
Suriname,17.983,5150,10.40501507,71.523,0.72,0
Sweden,11.5,52270,31.98643549,82.3073171,0.933,1
Switzerland,10.3,81130,27.64449224,83.602439,0.944,1
Taiwan,8.3,24000,19,80.4,0.907,1
Tajikistan,28.275,990,5.65610523,71.214,0.65,0
Tanzania,37.752,920,5.97961441,66.31,0.538,0
Thailand,10.098,5950,15.94899756,75.498,0.755,0
Timor-Leste,34.642,1790,6.7294036,69.199,0.625,0
Togo,33.545,610,5.10707894,60.477,0.503,0
Tonga,23.625,4010,9.97580401,73.179,0.726,0
Trinidad and Tobago,13.253,15340,14.44546928,70.783,0.784,0
Tunisia,17.865,3490,11.76841456,75.943,0.735,0
Turkey,15.954,10940,12.18789541,76.009,0.791,0
Turkmenistan,24.614,6380,6.59978219,67.956,0.706,0
Uganda,41.663,600,4.3261013,60.182,0.516,0
Ukraine,9.4,2390,24.19239941,71.7809756,0.751,0
United Kingdom,11.4,40600,29.03679123,81.1560976,0.922,1
United States,11.8,59160,23.46961267,78.5390244,0.924,1
Uruguay,13.928,15250,22.79676491,77.645,0.804,0
Uzbekistan,22.1,2000,6.61602475,71.42,0.71,0
Vanuatu,25.524,2920,7.35897977,72.334,0.603,0
Vietnam,16.45,2160,10.24481097,76.454,0.694,0
Zambia,37.833,1290,4.70190879,62.255,0.588,0
Zimbabwe,32.318,1170,5.04152276,61.712,0.535,0
